0.08	196475.61468454267
0.081	185878.0826574914
0.082	175936.4766342966
0.083	166604.5720946806
0.084	157840.7326708784
0.085	149605.9313038024
0.08600000000000001	141863.43706780398
0.08700000000000001	134580.3468593274
0.088	127726.06498224949
0.089	121271.53849142355
0.09	115190.58464211859
0.091	109458.61788567255
0.092	104052.78806684501
0.093	98951.87690606668
0.094	94136.32030416174
0.095	89587.76428964871
0.096	85289.27606199865
0.097	81225.23053606285
0.098	77380.71091864171
0.099	73742.27507298942
0.1	70297.282832821
0.101	67033.63120877322
0.10200000000000001	63940.5356090692
0.10300000000000001	61007.55899736567
0.10400000000000001	58225.26330220518
0.10500000000000001	55584.5966045977
0.10600000000000001	53077.40913559454
0.107	50695.82895565461
0.108	48432.5560580625
0.109	46281.00603711044
0.11	44234.63251078638
0.111	42287.6835750685
0.112	40434.53851735953
0.113	38670.13546551155
0.114	36989.53807998862
0.115	35388.231376715885
0.116	33861.978527578336
0.11699999999999999	32406.8311808472
0.118	31019.0290254408
0.119	29695.074818467696
0.12	28431.671691454118
0.121	27225.722681636
0.122	26074.35313883053
0.123	24974.77401882498
0.124	23924.460445343888
0.125	22920.950491714164
0.126	21961.9996066552
0.127	21045.398849563942
0.128	20169.1677825857
0.129	19331.321622717718
0.13	18530.101985001544
0.131	17763.75096478847
0.132	17030.66346263133
0.133	16329.284281461953
0.134	15658.160179451124
0.135	15015.904570583716
0.136	14401.2044164705
0.137	13812.81082561241
0.138	13249.541342676104
0.139	12710.274426125126
0.14	12193.934652904205
0.14100000000000001	11699.507925066238
0.14200000000000002	11226.023923371487
0.14300000000000002	10772.556682715647
0.14400000000000002	10338.236795820867
0.14500000000000002	9922.220453085773
0.14600000000000002	9523.708811153003
0.14700000000000002	9141.944426890663
0.14800000000000002	8776.198749073403
0.14900000000000002	8425.778223972884
0.15000000000000002	8090.0221020180015
0.15100000000000002	7768.299298996303
0.15200000000000002	7460.004477528843
0.153	7164.562828576777
0.154	6881.422199989358
0.155	6610.057084478151
0.156	6349.9628435801005
0.157	6100.660002020875
0.158	5861.686713780566
0.159	5632.603507829806
0.16	5412.989232869224
0.161	5202.44110879442
0.162	5000.573998749159
0.163	4807.018747241041
0.164	4621.422873871855
0.165	4447.700252153661
0.166	4210.508424284091
0.167	3983.7132094394497
0.16799999999999998	3770.074460442823
0.16899999999999998	3568.785316493875
0.16999999999999998	3379.0905021170197
0.17099999999999999	3200.2829238591103
0.172	3031.7004973384933
0.173	2872.723188711267
0.174	2722.7702556515205
0.175	2581.2976740370013
0.176	2447.7957375478163
0.177	2321.7868182745483
0.178	2202.823277259988
0.179	2090.4855147376793
0.18	1984.3801505061376
