#x [fm] 	 y [fm] 	 ux 	 uy 	 gamma 
-5.60254	-8.80399	0	0	0
-5.40245	-8.80399	0	0	0
-5.20236	-8.80399	0	0	0
-5.00227	-8.80399	0	0	0
-4.80218	-8.80399	0	0	0
-4.60209	-8.80399	0	0	0
-4.402	-8.80399	0	0	0
-4.20191	-8.80399	0	0	0
-4.00182	-8.80399	0	0	0
-3.80172	-8.80399	0	0	0
-3.60163	-8.80399	0	0	0
-3.40154	-8.80399	0	0	0
-3.20145	-8.80399	0	0	0
-3.00136	-8.80399	0	0	0
-2.80127	-8.80399	0	0	0
-2.60118	-8.80399	0	0	0
-2.40109	-8.80399	0	0	0
-2.201	-8.80399	0	0	0
-2.00091	-8.80399	0	0	0
-1.80082	-8.80399	0	0	0
-1.60073	-8.80399	0	0	0
-1.40064	-8.80399	0	0	0
-1.20054	-8.80399	0	0	0
-1.00045	-8.80399	0	0	0
-0.800363	-8.80399	0	0	0
-0.600272	-8.80399	0	0	0
-0.400182	-8.80399	0	0	0
-0.200091	-8.80399	0	0	0
0	-8.80399	0	0	0
0.200091	-8.80399	0	0	0
0.400182	-8.80399	0	0	0
0.600272	-8.80399	0	0	0
0.800363	-8.80399	0	0	0
1.00045	-8.80399	0	0	0
1.20054	-8.80399	0	0	0
1.40064	-8.80399	0	0	0
1.60073	-8.80399	0	0	0
1.80082	-8.80399	0	0	0
2.00091	-8.80399	0	0	0
2.201	-8.80399	0	0	0
2.40109	-8.80399	0	0	0
2.60118	-8.80399	0	0	0
2.80127	-8.80399	0	0	0
3.00136	-8.80399	0	0	0
3.20145	-8.80399	0	0	0
3.40154	-8.80399	0	0	0
3.60163	-8.80399	0	0	0
3.80172	-8.80399	0	0	0
4.00182	-8.80399	0	0	0
4.20191	-8.80399	0	0	0
4.402	-8.80399	0	0	0
4.60209	-8.80399	0	0	0
4.80218	-8.80399	0	0	0
5.00227	-8.80399	0	0	0
5.20236	-8.80399	0	0	0
5.40245	-8.80399	0	0	0
5.60254	-8.80399	0	0	0
5.80263	-8.80399	0	0	0
6.00272	-8.80399	0	0	0
6.20281	-8.80399	0	0	0
6.4029	-8.80399	0	0	0
6.603	-8.80399	0	0	0
6.80309	-8.80399	0	0	0
7.00318	-8.80399	0	0	0
7.20327	-8.80399	0	0	0
7.40336	-8.80399	0	0	0
7.60345	-8.80399	0	0	0
7.80354	-8.80399	0	0	0
8.00363	-8.80399	0	0	0
8.20372	-8.80399	0	0	0
8.40381	-8.80399	0	0	0
8.6039	-8.80399	0	0	0
8.80399	-8.80399	0	0	0
9.00408	-8.80399	0	0	0
9.20418	-8.80399	0	0	0
9.40427	-8.80399	0	0	0
9.60436	-8.80399	0	0	0
9.80445	-8.80399	0	0	0
10.0045	-8.80399	0	0	0
-9.80445	-8.6039	0	0	0
-9.60436	-8.6039	0	0	0
-9.40427	-8.6039	0	0	0
-9.20418	-8.6039	0	0	0
-9.00408	-8.6039	0	0	0
-8.80399	-8.6039	0	0	0
-8.6039	-8.6039	0	0	0
-8.40381	-8.6039	0	0	0
-8.20372	-8.6039	0	0	0
-8.00363	-8.6039	0	0	0
-7.80354	-8.6039	0	0	0
-7.60345	-8.6039	0	0	0
-7.40336	-8.6039	0	0	0
-7.20327	-8.6039	0	0	0
-7.00318	-8.6039	0	0	0
-6.80309	-8.6039	0	0	0
-6.603	-8.6039	0	0	0
-6.4029	-8.6039	0	0	0
-6.20281	-8.6039	0	0	0
-6.00272	-8.6039	0	0	0
-5.80263	-8.6039	0	0	0
-5.60254	-8.6039	0	0	0
-5.40245	-8.6039	0	0	0
-5.20236	-8.6039	0	0	0
-5.00227	-8.6039	0	0	0
-4.80218	-8.6039	0	0	0
-4.60209	-8.6039	0	0	0
-4.402	-8.6039	0	0	0
-4.20191	-8.6039	0	0	0
-4.00182	-8.6039	0	0	0
-3.80172	-8.6039	0	0	0
-3.60163	-8.6039	0	0	0
-3.40154	-8.6039	0	0	0
-3.20145	-8.6039	0	0	0
-3.00136	-8.6039	0	0	0
-2.80127	-8.6039	0	0	0
-2.60118	-8.6039	0	0	0
-2.40109	-8.6039	0	0	0
-2.201	-8.6039	0	0	0
-2.00091	-8.6039	0	0	0
-1.80082	-8.6039	0	0	0
-1.60073	-8.6039	0	0	0
-1.40064	-8.6039	0	0	0
-1.20054	-8.6039	0	0	0
-1.00045	-8.6039	0	0	0
