#x [fm] 	 y [fm] 	 T [GeV] 
-9.80445	-9.80445	0.00713151
-9.60436	-9.80445	0.00713151
-9.40427	-9.80445	0.00713151
-9.20418	-9.80445	0.00713151
-9.00408	-9.80445	0.00713151
-8.80399	-9.80445	0.00713151
-8.6039	-9.80445	0.00713151
-8.40381	-9.80445	0.00713151
-8.20372	-9.80445	0.00713151
-8.00363	-9.80445	0.00713151
-7.80354	-9.80445	0.00713151
-7.60345	-9.80445	0.00713151
-7.40336	-9.80445	0.00713151
-7.20327	-9.80445	0.00713151
-7.00318	-9.80445	0.00713151
-6.80309	-9.80445	0.00713151
-6.603	-9.80445	0.00713151
-6.4029	-9.80445	0.00713151
-6.20281	-9.80445	0.00713151
-6.00272	-9.80445	0.00713151
-5.80263	-9.80445	0.00713151
-5.60254	-9.80445	0.00713151
-5.40245	-9.80445	0.00713151
-5.20236	-9.80445	0.00713151
-5.00227	-9.80445	0.00713151
-4.80218	-9.80445	0.00713151
-4.60209	-9.80445	0.00713151
-4.402	-9.80445	0.00713151
-4.20191	-9.80445	0.00713151
-4.00182	-9.80445	0.00713151
-3.80172	-9.80445	0.00713151
-3.60163	-9.80445	0.00713151
-3.40154	-9.80445	0.00713151
-3.20145	-9.80445	0.00713151
-3.00136	-9.80445	0.00713151
-2.80127	-9.80445	0.00713151
-2.60118	-9.80445	0.00713151
-2.40109	-9.80445	0.00713151
-2.201	-9.80445	0.00713151
-2.00091	-9.80445	0.00713151
-1.80082	-9.80445	0.00713151
-1.60073	-9.80445	0.00713151
-1.40064	-9.80445	0.00713151
-1.20054	-9.80445	0.00713151
-1.00045	-9.80445	0.00713151
-0.800363	-9.80445	0.00713151
-0.600272	-9.80445	0.00713151
-0.400182	-9.80445	0.00713151
-0.200091	-9.80445	0.00713151
0	-9.80445	0.00713151
0.200091	-9.80445	0.00713151
0.400182	-9.80445	0.00713151
0.600272	-9.80445	0.00713151
0.800363	-9.80445	0.00713151
1.00045	-9.80445	0.00713151
1.20054	-9.80445	0.00713151
1.40064	-9.80445	0.00713151
1.60073	-9.80445	0.00713151
1.80082	-9.80445	0.00713151
2.00091	-9.80445	0.00713151
2.201	-9.80445	0.00713151
2.40109	-9.80445	0.00713151
2.60118	-9.80445	0.00713151
2.80127	-9.80445	0.00713151
3.00136	-9.80445	0.00713151
3.20145	-9.80445	0.00713151
