# PROTON_Vn
0.0800 0.746039	0.13661	0.118551	0.158256	0.0944038	0.138999
0.2400 0.787485	0.175401	0.0876319	0.136634	0.280139	0.103411
0.4000 0.615482	0.052468	0.152944	0.104776	0.0821788	0.0659172
0.5600 0.532885	0.092507	0.0734804	0.158995	0.0829432	0.0699177
0.7200 0.314303	0.105637	0.05839	0.0543894	0.0147913	0.155171
0.8800 0.228898	0.0749514	0.106874	0.07496	0.121542	0.0380853
1.0400 0.16738	0.074129	0.19114	0.079179	0.206747	0.103502
1.2000 0.0973995	0.135419	0.10166	0.0412702	0.166709	0.125327
1.3600 0.069484	0.202797	0.127657	0.288426	0.169212	0.265152
1.5200 0.0392652	0.206327	0.149304	0.0574422	0.145829	0.193444
1.6800 0.0207233	0.486721	0.387297	0.103048	0.376543	0.353983
1.8400 0.0162182	0.231971	0.529298	0.287885	0.178616	0.308989
2.0000 0.0111906	0.288188	0.305917	0.574496	0.68976	0.335384
2.1600 0.00921036	0.344254	0.236058	0.324071	0.553411	0.221345
2.3200 0.00214379	0.15892	0.949489	0.460706	0.803058	0.71595
2.4800 0.00401096	0.875399	0.590402	0.484422	0.71182	0.876434
2.6400 0.0028259	0.320695	0.487745	0.351609	0.748864	0.363659
2.8000 0.000888141	1	1	1	1	1
2.9600 0	nan	nan	nan	nan	nan
3.1200 0	nan	nan	nan	nan	nan
3.2800 0	nan	nan	nan	nan	nan
3.4400 0	nan	nan	nan	nan	nan
3.6000 0	nan	nan	nan	nan	nan
3.7600 0	nan	nan	nan	nan	nan
3.9200 0	nan	nan	nan	nan	nan
