#    T(MeV)             q=18..25 GeV
    4.28000e+02     4.06579e-09     4.21638e-09     4.36726e-09     4.51480e-09     4.65816e-09     4.79760e-09     4.93606e-09     5.06879e-09
    4.34000e+02     4.49082e-09     4.66122e-09     4.83233e-09     4.99899e-09     5.16111e-09     5.31819e-09     5.47426e-09     5.62316e-09
    4.40000e+02     4.95513e-09     5.14677e-09     5.33962e-09     5.52686e-09     5.70916e-09     5.88521e-09     6.06017e-09     6.22644e-09
    4.46000e+02     5.46068e-09     5.67504e-09     5.89122e-09     6.10056e-09     6.30452e-09     6.50093e-09     6.69610e-09     6.88098e-09
    4.52000e+02     6.00949e-09     6.24810e-09     6.48925e-09     6.72229e-09     6.94943e-09     7.16765e-09     7.38441e-09     7.58921e-09
    4.58000e+02     6.60359e-09     6.86804e-09     7.13588e-09     7.39428e-09     7.64619e-09     7.88773e-09     8.12748e-09     8.35356e-09
    4.64000e+02     7.24505e-09     7.53699e-09     7.83328e-09     8.11876e-09     8.39711e-09     8.66354e-09     8.92774e-09     9.17652e-09
    4.70000e+02     7.93597e-09     8.25710e-09     8.58368e-09     8.89805e-09     9.20454e-09     9.49750e-09     9.78766e-09     1.00606e-08
    4.76000e+02     8.67850e-09     9.03056e-09     9.38934e-09     9.73446e-09     1.00709e-08     1.03921e-08     1.07097e-08     1.10084e-08
    4.82000e+02     9.47479e-09     9.85960e-09     1.02525e-08     1.06304e-08     1.09985e-08     1.13497e-08     1.16965e-08     1.20224e-08
    4.88000e+02     1.03270e-08     1.07465e-08     1.11756e-08     1.15881e-08     1.19900e-08     1.23730e-08     1.27505e-08     1.31054e-08
    4.94000e+02     1.12375e-08     1.16935e-08     1.21609e-08     1.26102e-08     1.30477e-08     1.34644e-08     1.38744e-08     1.42599e-08
